https://live-durhamnc.opendata.arcgis.com/datasets/supermarkets-warehouse-clubs-and-supercenters-1/data,,Open Data: City and County of Durham NC,,"Supermarkets, warehouse clubs and supercenters",,Source date:  November 2020,,,,,,,,,,,,,,,,,,,
X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-78.899963,35.987774,2406,140033,0,DURHAM FOOD WORLD,Grocery Store,401 E LAKEWOOD AVE # A,DURHAM,,,https://www.foodworlddurham.com,,9196804282,,9196804282,7 days/week,8am-9pm,,,,{A3BEEF0A-310A-46CE-9FFF-0A1400066945},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.891968,35.97987,2414,134124,0,U C STOP,Grocery Store,710 S ALSTON AVE,DURHAM,,,,,9193815003,,,,,,,Convenience Store,{3058521C-F151-498D-9E02-648A2963B095},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.892799,36.003521,2466,133351,0,GEER ST. MINI MART,Grocery Store,201 E GEER ST,DURHAM,,,,,9196822612,,9197483453,Sunday-Friday; Closed Saturday,Sun-Thurs 8am-12am; Fri 7am-1am,,,CONVENIENCE STORE,{F21837AE-0B0C-492F-8CF4-50FAC0F927A5},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.887939,35.987991,2471,133640,0,LOS PRIMOS SUPERMARKET,Grocery Store,1109 E MAIN ST,DURHAM,,,https://losprimos.us/,,9196826417,,9196826417,,8:00am-7:00pm,,,,{FB3E8C53-4382-46A7-A002-D4221AC5963D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.886513,35.99231,2473,133948,0,SAVE-A-LOT,Grocery Store,812 LIBERTY ST,DURHAM,,,https://savealot.com/,,9195308596,,9195308596,7 days a week,8am-10pm,,,"8am-9am daily priority shopping for seniors, disabled, and their caregivers.",{615B4391-2520-40BC-AEA1-8302FB1B98F1},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.876518,35.98114,2480,134468,0,M&M MINI MART,Grocery Store,2128 ANGIER AVE,DURHAM,,,,,9197972144,,9197972144,7 days/week,5am-11pm,,,CONVENIENCE STORE,{E157D3B0-0FA8-47EC-8875-EA0C5E3FAAB1},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.874763,35.981079,2483,134641,0,BUY QUICK FOOD MARTS,Grocery Store,419 S BRIGGS AVE,DURHAM,,,,,9195968380,,9195968380,7 days/week,6:30am-11pm,,,Convenience store,{6ADD5146-428A-4AE0-AB0B-A9AAB2FCF143},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.889549,36.019871,2505,136721,0,KING'S RED & WHITE SUPERMARKET,Grocery Store,305 E CLUB BLVD,DURHAM,,,https://www.kingsredandwhite.com,,,,9192202192,7 days/week,Mon to Sat 8:30am - 6pm; Sun 11:30am - 6pm,,,,{BAF01DE1-60D8-4EC8-9E95-286196B18604},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.892548,36.037621,2568,136543,0,FOOD LION #747,Grocery Store,3500 N ROXBORO ST,DURHAM,,,https://www.foodlion.com/,,9192207651,,9192207651,7 days/week,7am-10pm,,,Senior and high-risk Mon and Wed 7-8am; Pick-up and delivery available at some stores,{5B0FB74A-91E9-4D67-87BD-0D5563A8049F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.886009,36.016449,2576,136264,0,COMPARE FOODS,Grocery Store,2000 AVONDALE DR # A,DURHAM,,,,,9192209638,,9192209638,7 days/week,8am-8pm,,,,{0B757207-1835-477A-A665-FB9639DD8195},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.870476,35.993885,2587,135725,0,STOP 1 FOODMART,Grocery Store,1103 N MIAMI BLVD,DURHAM,,,,,9196823593,,9196823593,7 days a week,,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{91C5F3BE-3B60-4802-898B-F7D056EC1046},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
